Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
O76003	NA	19.694167601064258	19.26606466472333	19.669333493184666	19.301870190043417	NA	19.502484636102043	NA	NA	19.091472412735463	19.96544125227697	19.86248516589159
O76021	NA	18.36721958774221	19.099216279938815	18.19806111721512	NA	NA	18.144021029267694	NA	NA	17.778724937845112	NA	18.591795754942527
O76031	NA	17.429569851655067	NA	17.134975299948398	NA	NA	NA	NA	NA	NA	NA	17.179098985580453
O76094	NA	18.151092861113653	18.214726171631657	18.54008352841748	18.084639473822747	17.90614202592059	17.658825446461087	NA	NA	18.427960004510858	18.417976386356177	18.2450309940322
O94776	NA	19.444523276913046	19.593049722878384	19.09826696020016	NA	19.965924979245464	19.263591421280225	NA	NA	18.79277228006095	NA	19.261997243956777
O94888	NA	16.088824055839183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94903	NA	17.52568143326402	NA	NA	NA	NA	17.651658944338518	NA	NA	NA	NA	17.30730704901403
O94906	NA	17.378265239143047	17.417506756839966	NA	NA	NA	NA	NA	NA	NA	NA	17.308768789800947
O94925	NA	17.74628370541964	NA	17.294165044477943	17.54570472860336	NA	17.21132355193573	NA	NA	16.563940770005054	NA	17.29165128205814
O94972	NA	NA	20.881536517819843	NA	NA	NA	NA	NA	NA	NA	NA	NA
O94973	NA	NA	17.49316166514972	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95163	NA	16.346963398907267	16.23533579701087	NA	NA	NA	16.46168759905463	NA	NA	NA	NA	NA
O95202	NA	18.95389893244266	18.486185019658905	18.548603808610384	18.89770127868861	17.824963868699406	18.32520814446065	NA	NA	18.357940405176215	NA	18.554374022592622
O95232	NA	16.704371697487883	NA	16.43384732585418	NA	NA	NA	NA	NA	NA	NA	NA
O95319	NA	18.589087630034214	17.818629968598348	18.23983128926435	18.099015959684685	18.084744818311716	19.217975839203643	NA	NA	18.349641410077083	NA	18.402028583465867
O95336	NA	19.536189903417963	19.455146908407507	19.64348002566071	19.648724492970707	19.295075032626375	19.416128804762437	20.997611248518865	23.559208832021362	19.448536277425298	19.826056915762084	19.63315271180483
O95347	NA	19.60384227257798	19.477426111691962	19.482372599927114	19.082336602470214	NA	19.180110210038894	NA	NA	19.158784832724358	NA	19.514745480357103
O95373	NA	NA	16.054746574463113	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95394	NA	NA	15.644723523244696	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95433	NA	20.423800112843335	19.885931775399765	20.005639007407115	20.267114876475645	20.840178568272737	20.456668823867084	19.70082181869998	NA	20.261614034199255	19.92911833107837	20.444654149144505
O95453	NA	16.93900383421499	16.92412231921975	NA	NA	NA	17.263347488674643	NA	NA	NA	NA	17.33144992366605
O95456	NA	18.875230446609752	18.220113061988833	NA	NA	NA	18.46185768351431	NA	NA	17.78894897876736	NA	NA
O95478	NA	16.08371991923098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O95747	18.972811693472853	17.43211020299714	18.567540612528244	17.948275886126606	18.230679679527167	18.285377797004976	NA	NA	NA	18.067779588351705	17.810524295902542	17.795005692307665
O95757	NA	17.560245278946148	NA	NA	NA	NA	17.383301034751515	NA	NA	18.484380984846986	NA	18.145953987386395
O95777	NA	18.393718773605475	18.65022549955969	NA	NA	NA	NA	NA	NA	NA	NA	18.459361758531816
O95782	NA	17.05241861986554	17.633725223050632	16.641342197173437	NA	17.75860641312074	16.873373439324027	NA	NA	NA	NA	16.55022900142158
O95816	NA	17.100933191189657	17.44072523372682	17.67734617070728	NA	NA	16.997169316664994	NA	NA	NA	NA	NA
O95831	NA	18.946000162250737	18.615881802759965	19.249288915564293	18.999357287372984	18.669785991463957	18.523081056431117	NA	NA	18.943812603484282	NA	18.918751145974234
O95861	NA	18.25197335274146	17.673268506524145	17.792531040242757	NA	NA	NA	NA	NA	NA	NA	18.299500401991935
O95864	NA	17.528616866488598	NA	NA	NA	NA	16.84484613409223	NA	NA	NA	NA	17.114194884550837
O95881	NA	NA	16.93927622867203	16.826645920974652	NA	NA	NA	NA	NA	NA	NA	16.66897833040142
O96008	NA	18.249603213378627	18.19536147011409	NA	NA	NA	NA	NA	NA	NA	NA	NA
O96019;O94805	NA	19.014258125516292	18.899052124936485	18.481906450040437	18.727262210142328	19.681070266471618	19.03961270026455	NA	NA	18.871852265880896	NA	18.891982760142575
P00338;Q6ZMR3	23.92797193012929	23.954542222566605	24.481241910366617	24.50574093123892	24.270661843611315	24.00845205506077	24.275793479568968	24.43586730188944	23.71426585998921	23.916214701878637	24.342555406316954	24.190343733623134
P00367	NA	18.889490869692782	19.06247191573808	NA	NA	18.574674350709895	19.05368411393061	NA	NA	18.85336266766337	NA	18.849576175347032
P00374;Q86XF0	NA	18.178896160236338	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.33254931324014
P00387	NA	17.28694214733739	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.502004592585664
P00390	NA	19.174284451330525	19.467955917256923	19.29973001617686	19.731301265993615	19.19864162699937	19.597061261728932	NA	NA	19.056705743145123	21.186659784825174	19.38790166421728
